"","x"
"202","PGSC0003DMG400012891"
"203","PGSC0003DMG400033038"
"204","PGSC0003DMG401026984"
"205","PGSC0003DMG400030309"
"206","PGSC0003DMG400021740"
"207","Novel03343"
"208","PGSC0003DMG400003090"
"209","PGSC0003DMG400030640"
"210","PGSC0003DMG400010853"
"211","PGSC0003DMG400004756"
"212","PGSC0003DMG400007481"
"213","PGSC0003DMG402014048"
"214","PGSC0003DMG400023657"
