"","Gene_ID","Comparison"
"150","PGSC0003DMG402006194","Cv653"
"151","PGSC0003DMG400028326","Cv653"
"152","PGSC0003DMG401025624","Cv653"
"153","PGSC0003DMG401029299","Cv653"
"154","PGSC0003DMG400012522","Cv653"
"155","PGSC0003DMG400024535","Cv653"
"156","PGSC0003DMG400001659","Cv653"
"157","PGSC0003DMG400018288","Cv653"
"158","PGSC0003DMG401008471","Cv653"
"159","PGSC0003DMG400007081","Cv653"
"160","PGSC0003DMG400033045","Cv653"
"161","PGSC0003DMG400024979","Cv653"
"162","PGSC0003DMG400010092","Cv653"
"163","PGSC0003DMG400011964","Cv653"
"164","PGSC0003DMG400023327","Cv653"
"165","PGSC0003DMG400023526","Cv653"
"166","PGSC0003DMG400015711","Cv653"
"167","PGSC0003DMG400016462","Cv653"
"168","Novel00857","Cv653"
"169","PGSC0003DMG400023206","Cv653"
"170","PGSC0003DMG400001570","Cv653"
"171","PGSC0003DMG400024310","Cv653"
"172","PGSC0003DMG400020150","Cv653"
"173","PGSC0003DMG400029659","Cv653"
"174","PGSC0003DMG400029743","Cv653"
"175","PGSC0003DMG400005931","Cv653"
"176","Novel01880","Cv653"
"177","PGSC0003DMG401030700","Cv653"
"178","PGSC0003DMG400003562","Cv653"
"179","Novel03093","Cv653"
"180","PGSC0003DMG400016290","Cv653"
"181","Novel00329","Cv653"
"182","PGSC0003DMG400006368","Cv653"
"183","PGSC0003DMG402015935","Cv653"
"184","PGSC0003DMG400029620","Cv653"
"185","PGSC0003DMG400018158","Cv653"
"186","PGSC0003DMG404006439","Cv653"
"187","PGSC0003DMG400027383","Cv653"
"188","PGSC0003DMG400023943","Cv653"
"189","PGSC0003DMG400000828","Cv653"
"190","Novel02053","Cv653"
"191","PGSC0003DMG400012763","Cv653"
"192","Novel01462","Cv653"
"193","PGSC0003DMG400011319","Cv653"
"194","PGSC0003DMG400018819","Cv653"
"195","PGSC0003DMG400016133","Cv653"
"196","PGSC0003DMG400007707","Cv653"
"197","Novel02232","Cv653"
"198","PGSC0003DMG400008954","Cv653"
"199","Novel03555","Cv653"
"200","PGSC0003DMG400026970","Cv653"
"201","PGSC0003DMG400021076","Cv653"
"202","Novel01091","Cv653"
"203","PGSC0003DMG400023742","Cv653"
"204","PGSC0003DMG400014513","Cv653"
"205","PGSC0003DMG400019379","Cv653"
"206","PGSC0003DMG400003707","Cv653"
"207","PGSC0003DMG401030679","Cv653"
"208","PGSC0003DMG400030984","Cv653"
"209","PGSC0003DMG400010224","Cv653"
"210","PGSC0003DMG400025239","Cv653"
"211","PGSC0003DMG400016625","Cv653"
"212","PGSC0003DMG400006991","Cv653"
"213","PGSC0003DMG400030185","Cv653"
"214","PGSC0003DMG400006185","Cv653"
"215","PGSC0003DMG400028897","Cv653"
"216","PGSC0003DMG400003766","Cv653"
"217","PGSC0003DMG401024348","Cv653"
"218","PGSC0003DMG401019352","Cv653"
"219","PGSC0003DMG400026319","Cv653"
"220","PGSC0003DMG400003155","Cv653"
"221","PGSC0003DMG400030353","Cv653"
"222","PGSC0003DMG400022263","Cv653"
"223","PGSC0003DMG400017291","Cv653"
"224","PGSC0003DMG400027594","Cv653"
"225","PGSC0003DMG400027765","Cv653"
"226","Novel00018","Cv653"
"227","PGSC0003DMG400010661","Cv653"
"228","PGSC0003DMG400023013","Cv653"
"229","PGSC0003DMG400025836","Cv653"
"230","PGSC0003DMG400027152","Cv653"
"231","Novel03456","Cv653"
"232","PGSC0003DMG400034293","Cv653"
"233","PGSC0003DMG400029552","Cv653"
"234","PGSC0003DMG400013816","Cv653"
"235","PGSC0003DMG400029643","Cv653"
"236","PGSC0003DMG401004779","Cv653"
"237","Novel01816","Cv653"
"238","Novel01973","Cv653"
"239","PGSC0003DMG400027124","Cv653"
"240","PGSC0003DMG400008351","Cv653"
"241","PGSC0003DMG400012210","Cv653"
"242","PGSC0003DMG400003380","Cv653"
"243","PGSC0003DMG400003516","Cv653"
"244","PGSC0003DMG400030692","Cv653"
"245","PGSC0003DMG400031346","Cv653"
"246","Novel00806","Cv653"
"247","PGSC0003DMG400030957","Cv653"
"248","PGSC0003DMG400027013","Cv653"
"249","PGSC0003DMG400022420","Cv653"
"250","PGSC0003DMG400014013","Cv653"
"251","PGSC0003DMG400029830","Cv653"
"252","PGSC0003DMG400003491","Cv653"
"253","PGSC0003DMG400009909","Cv653"
"254","PGSC0003DMG400024264","Cv653"
"255","PGSC0003DMG400002217","Cv653"
"256","PGSC0003DMG400015229","Cv653"
"257","PGSC0003DMG400031326","Cv653"
"258","PGSC0003DMG400011249","Cv653"
"259","PGSC0003DMG400029074","Cv653"
"260","PGSC0003DMG400024772","Cv653"
"261","PGSC0003DMG400031110","Cv653"
"262","PGSC0003DMG401029058","Cv653"
"263","PGSC0003DMG400006993","Cv653"
"264","PGSC0003DMG400024972","Cv653"
