PGSC0003DMG400002068,GO:0008152
PGSC0003DMG400002144,GO:0010556
PGSC0003DMG400002151,GO:0006812
PGSC0003DMG400002153,GO:0036211
PGSC0003DMG400002156,GO:1901576
PGSC0003DMG400002167,GO:0006950
PGSC0003DMG400002196,GO:0008152
PGSC0003DMG400002204,GO:0009926
PGSC0003DMG400002217,GO:0006952
PGSC0003DMG400002345,GO:0044710
PGSC0003DMG400002386,GO:0009657
PGSC0003DMG400002388,GO:0008150
PGSC0003DMG400002392,GO:0006351
PGSC0003DMG400002426,GO:0007154
PGSC0003DMG400002452,GO:0000165
PGSC0003DMG400002473,GO:0006520
PGSC0003DMG400002483,GO:0044699
PGSC0003DMG400002487,GO:0098542
PGSC0003DMG400002534,GO:0050657
PGSC0003DMG400002541,GO:0006412
PGSC0003DMG400002597,GO:0006518
PGSC0003DMG400002612,GO:0055114
PGSC0003DMG400002688,GO:0044710
PGSC0003DMG400002694,GO:0009987
PGSC0003DMG400002762,GO:0034220
PGSC0003DMG400002789,GO:0050896
PGSC0003DMG400002819,GO:0006449
PGSC0003DMG400002835,GO:0019219
PGSC0003DMG400002890,GO:0031667
PGSC0003DMG400002920,GO:0006950
PGSC0003DMG400003056,GO:0032268
PGSC0003DMG400003123,GO:0016310
PGSC0003DMG400003155,GO:0048229
PGSC0003DMG400003208,GO:0050896
PGSC0003DMG400003213,GO:0071704
PGSC0003DMG400003238,GO:0043170
PGSC0003DMG400003291,GO:0044237
PGSC0003DMG400003306,GO:0008150
PGSC0003DMG400003368,GO:0006518
PGSC0003DMG400003380,GO:0006952
PGSC0003DMG400003467,GO:0044085
PGSC0003DMG400003495,GO:0008152
PGSC0003DMG400003521,GO:0008152
PGSC0003DMG400003522,GO:0044723
PGSC0003DMG400003527,GO:0042742
PGSC0003DMG400003562,GO:0071840
PGSC0003DMG400003563,GO:0008150
PGSC0003DMG400003593,GO:0046483
PGSC0003DMG400003608,GO:0008152
PGSC0003DMG400003619,GO:0006081
PGSC0003DMG400003679,GO:0008152
PGSC0003DMG400003700,GO:0035556
PGSC0003DMG400003707,GO:0008150
PGSC0003DMG400003722,GO:0008150
PGSC0003DMG400003726,GO:0044237
PGSC0003DMG400003735,GO:0051179
PGSC0003DMG400003766,GO:0098662
PGSC0003DMG400003774,GO:0005975
PGSC0003DMG400003779,GO:1901360
