gene_id,B_653_readcount,B_CON_readcount,log2FoldChange,pval,padj
Cluster-15354.85472,856.0205908,2115.384218,-1.3052,1.00E-05,0.0047924
Cluster-15354.85260,277.8749567,1012.188639,-1.865,1.01E-05,0.0048323
Cluster-15354.111699,1.305205766,35.12404846,-4.7501,1.02E-05,0.0048546
Cluster-15354.75877,62.53949086,4.875373384,3.6812,1.03E-05,0.0049069
Cluster-15354.78453,109.9490943,17.54323631,2.6478,1.04E-05,0.0049069
Cluster-15354.96402,1014.629088,395.3603675,1.3597,1.04E-05,0.004942
Cluster-15354.145367,16.89581622,103.8593805,-2.6199,1.05E-05,0.0049463
Cluster-15354.91060,5520.744168,2299.307723,1.2637,1.05E-05,0.0049483
Cluster-15354.101044,774.0150522,290.1176655,1.4157,1.07E-05,0.0050007
Cluster-15354.84144,3538.991973,1479.385899,1.2583,1.07E-05,0.0050007
Cluster-15354.51645,35.88931858,162.4586226,-2.1784,1.07E-05,0.0050214
Cluster-15354.106084,391.7720818,125.7541435,1.6394,1.08E-05,0.0050279
Cluster-15354.121982,61.43963044,1.329647287,5.5301,1.08E-05,0.0050279
Cluster-15354.64541,117.5643724,20.36113036,2.5296,1.08E-05,0.0050279
Cluster-15354.691,84.53385828,10.206619,3.05,1.08E-05,0.0050279
Cluster-15354.30173,240.1041524,64.30714891,1.9006,1.10E-05,0.0050645
Cluster-15354.47795,332.8957857,862.4121867,-1.3733,1.10E-05,0.0050753
Cluster-15354.83555,874.7021233,331.3253174,1.4005,1.10E-05,0.0050753
Cluster-15354.112052,581.6734855,117.5461125,2.307,1.12E-05,0.0051408
Cluster-15354.74517,1393.212448,561.4897143,1.3111,1.12E-05,0.0051442
Cluster-15354.62857,900.0111818,345.366423,1.3818,1.16E-05,0.0052888
Cluster-15354.132129,534.9942844,189.6213719,1.4964,1.17E-05,0.005334
Cluster-15354.61935,950.6435846,367.5845664,1.3708,1.17E-05,0.005334
Cluster-15354.94429,6.330891401,91.08017156,-3.8467,1.21E-05,0.0055167
Cluster-15354.47323,0,20.37151795,#NAME?,1.25E-05,0.0056435
Cluster-15354.72986,1846.381289,768.3652456,1.2648,1.26E-05,0.0057071
Cluster-15354.82887,3135.467176,1314.918972,1.2537,1.26E-05,0.0057071
Cluster-15354.65291,1489.318749,606.651225,1.2957,1.27E-05,0.0057254
Cluster-15354.80463,2734.635411,1156.536351,1.2415,1.28E-05,0.0057513
Cluster-15354.22747,27.63586521,0,Inf,1.29E-05,0.0057637
Cluster-15354.68622,170.936755,39.61566832,2.1093,1.29E-05,0.0057637
Cluster-15354.115471,1165.534957,476.7354016,1.2897,1.31E-05,0.0058315
Cluster-15354.93511,757.5265236,288.8416306,1.391,1.32E-05,0.005874
Cluster-15354.27517,81.69551438,9.893564243,3.0457,1.33E-05,0.0058876
Cluster-15354.83070,4137.116183,1538.825361,1.4268,1.33E-05,0.0058876
Cluster-15354.55961,466.6090259,159.9880175,1.5443,1.33E-05,0.0058894
Cluster-15354.151091,7.273222922,67.75279625,-3.2196,1.35E-05,0.0059674
Cluster-15354.76843,3262.512213,1384.898389,1.2362,1.35E-05,0.0059674
Cluster-39136.1,32.46464491,0.479232685,6.082,1.36E-05,0.00598
Cluster-15354.94445,2987.505099,1303.574019,1.1965,1.38E-05,0.0060694
Cluster-15354.91768,475.5885858,165.2862173,1.5247,1.39E-05,0.0060706
Cluster-15354.128524,44.65149067,179.5635822,-2.0077,1.39E-05,0.0060733
Cluster-54316.0,27.383756,0,Inf,1.40E-05,0.0060956
Cluster-47773.1,5.732294256,64.43480949,-3.4907,1.40E-05,0.0061097
Cluster-15354.23955,342.4791125,66.35824588,2.3677,1.42E-05,0.0061502
Cluster-15354.116462,27.10619396,0,Inf,1.44E-05,0.0062023
Cluster-15354.47748,9.898476167,78.76240668,-2.9922,1.43E-05,0.0062023
Cluster-15354.82317,850.3676518,179.3525279,2.2453,1.44E-05,0.0062023
Cluster-15354.62862,1335.600525,544.7394831,1.2939,1.44E-05,0.006207
Cluster-15354.36519,23.04759855,122.0656848,-2.405,1.45E-05,0.0062204
Cluster-15354.65300,1076.459552,427.6462021,1.3318,1.45E-05,0.0062295
Cluster-15354.77031,722.6258978,273.5479047,1.4015,1.46E-05,0.0062295
Cluster-15354.84468,445.0150727,1106.647617,-1.3143,1.46E-05,0.0062295
Cluster-15354.84602,1908.46595,507.3394075,1.9114,1.46E-05,0.0062295
Cluster-15354.80006,667.0615408,247.2545702,1.4318,1.48E-05,0.0062941
Cluster-15354.69607,476.3345496,164.9329243,1.5301,1.50E-05,0.006373
Cluster-15354.83356,297.4142697,89.77499595,1.7281,1.52E-05,0.0064413
Cluster-15354.82467,1441.800797,526.6446251,1.453,1.53E-05,0.0064672
Cluster-15354.78550,1171.563574,471.4970579,1.3131,1.55E-05,0.0065435
Cluster-44076.0,36.22794896,0.907916656,5.3184,1.55E-05,0.0065435
Cluster-15354.47114,1051.706355,417.4683303,1.333,1.56E-05,0.0065546
Cluster-15354.122239,1199.49685,4040.526858,-1.7521,1.57E-05,0.0065643
Cluster-15354.135195,264.5383305,708.7075443,-1.4217,1.59E-05,0.0066597
Cluster-15354.97614,141.5961645,520.6751771,-1.8786,1.61E-05,0.0067044
Cluster-15354.79467,188.6561461,33.34891653,2.5,1.61E-05,0.0067242
Cluster-15354.64428,1.446840873,35.96532569,-4.6356,1.62E-05,0.0067297
Cluster-15354.96298,131.9594901,393.6926458,-1.577,1.64E-05,0.0068256
Cluster-24662.0,117.263059,21.21849831,2.4664,1.66E-05,0.0068766
Cluster-15354.92179,251.2652783,675.8767559,-1.4275,1.67E-05,0.006901
Cluster-50747.2,26.73895454,0,Inf,1.67E-05,0.006901
Cluster-15354.55670,1301.384184,452.9604505,1.5226,1.69E-05,0.0069375
Cluster-15354.75687,1130.671806,452.8029239,1.3202,1.69E-05,0.0069375
Cluster-15354.92431,282.5393327,745.7665513,-1.4003,1.71E-05,0.0069929
Cluster-15354.78416,68.03760681,242.9570188,-1.8363,1.73E-05,0.0070514
Cluster-15354.87066,58.75720329,2.295065998,4.6782,1.72E-05,0.0070514
Cluster-15354.123160,280.4262677,84.52304623,1.7302,1.76E-05,0.0071853
Cluster-15354.106206,273.406497,715.6164501,-1.3881,1.79E-05,0.0072504
Cluster-15354.145370,36.32040282,222.5497926,-2.6153,1.79E-05,0.0072504
Cluster-15354.84719,1773.331469,401.2236093,2.144,1.82E-05,0.0073831
Cluster-15354.74016,272.876222,952.9851966,-1.8042,1.87E-05,0.0075738
Cluster-15354.81339,2619.255448,1121.4208,1.2238,1.90E-05,0.0076794
Cluster-15354.69674,1.273843168,35.24788123,-4.7903,1.92E-05,0.0077509
Cluster-15354.34673,173.1631153,41.47790614,2.0617,1.96E-05,0.00786
Cluster-15354.82310,822.16238,319.7451393,1.3625,1.96E-05,0.0078631
Cluster-15354.64185,520.1542476,190.7489092,1.4473,1.98E-05,0.0079215
Cluster-15354.92260,349.7376746,107.687454,1.6994,1.99E-05,0.0079438
Cluster-15354.137404,69.84006862,250.2926174,-1.8415,2.00E-05,0.0079734
Cluster-15354.32626,0.522082306,26.05308545,-5.641,2.02E-05,0.0080449
Cluster-15354.112971,11.82963445,84.61719031,-2.8385,2.04E-05,0.0081094
Cluster-15354.64627,1431.40191,593.6008588,1.2699,2.05E-05,0.0081094
Cluster-15354.69968,541.7364937,197.0984529,1.4587,2.05E-05,0.0081094
Cluster-15354.82657,1778.048705,748.4355853,1.2483,2.05E-05,0.0081094
Cluster-15354.29450,35.62436008,0.886431524,5.3287,2.06E-05,0.0081204
Cluster-15354.91767,1261.171292,520.2428351,1.2775,2.06E-05,0.0081247
Cluster-15354.21096,0,19.5821245,#NAME?,2.08E-05,0.0081538
Cluster-45263.4,41.84715013,1.714735886,4.6091,2.08E-05,0.0081538
Cluster-15354.64190,516.7844416,174.348367,1.5676,2.09E-05,0.0081886
Cluster-15354.57323,1382.228528,512.1768886,1.4323,2.10E-05,0.0082008
Cluster-15354.82132,4608.862618,1583.868835,1.541,2.10E-05,0.0082024
Cluster-15354.91998,463.9114003,148.7489391,1.641,2.12E-05,0.0082652
Cluster-15354.30500,0,19.35906962,#NAME?,2.13E-05,0.0082715
