"","x"
"199","PGSC0003DMG400021798"
"200","PGSC0003DMG400016191"
"201","PGSC0003DMG400006231"
"202","PGSC0003DMG400007365"
"203","PGSC0003DMG400010173"
"204","PGSC0003DMG400026162"
"205","Novel01500"
"206","PGSC0003DMG400000244"
"207","PGSC0003DMG400023125"
"208","PGSC0003DMG400015602"
"209","PGSC0003DMG402011162"
"210","Novel02747"
"211","PGSC0003DMG400006395"
"212","Novel01497"
"213","PGSC0003DMG400008629"
"214","PGSC0003DMG401004858"
"215","PGSC0003DMG400008394"
"216","PGSC0003DMG400023732"
"217","PGSC0003DMG401003025"
"218","PGSC0003DMG400023360"
"219","PGSC0003DMG400014297"
"220","PGSC0003DMG400006713"
"221","Novel02173"
"222","PGSC0003DMG400001881"
"223","PGSC0003DMG402011252"
"224","PGSC0003DMG400017219"
"225","PGSC0003DMG402027258"
"226","PGSC0003DMG400025621"
"227","PGSC0003DMG400007820"
"228","Novel02616"
"229","PGSC0003DMG400003932"
"230","PGSC0003DMG400029260"
"231","PGSC0003DMG400006769"
"232","PGSC0003DMG400030794"
"233","PGSC0003DMG401024252"
"234","PGSC0003DMG400020489"
"235","PGSC0003DMG400026586"
"236","PGSC0003DMG401029995"
"237","PGSC0003DMG400020376"
"238","PGSC0003DMG400019831"
"239","PGSC0003DMG400002612"
"240","PGSC0003DMG401002270"
"241","PGSC0003DMG400010612"
"242","PGSC0003DMG400028030"
"243","PGSC0003DMG400014954"
"244","Novel02039"
"245","PGSC0003DMG400000985"
"246","PGSC0003DMG400029242"
"247","PGSC0003DMG400042445"
"248","PGSC0003DMG401015175"
"249","PGSC0003DMG400029201"
"250","PGSC0003DMG402022984"
"251","PGSC0003DMG400025109"
"252","Novel02125"
"253","Novel02834"
"254","PGSC0003DMG400000193"
"255","PGSC0003DMG400010031"
"256","PGSC0003DMG400023849"
"257","Novel01053"
"258","PGSC0003DMG400000310"
"259","Novel00698"
"260","PGSC0003DMG400000425"
"261","PGSC0003DMG400018397"
"262","PGSC0003DMG400000803"
"263","PGSC0003DMG400027611"
"264","PGSC0003DMG400007385"
"265","Novel03543"
"266","PGSC0003DMG401015928"
"267","PGSC0003DMG401015009"
"268","PGSC0003DMG400029435"
