Cluster-15354.121490,GO:0006118
Cluster-15354.121555,GO:0015986
Cluster-15354.121596,GO:0006511
Cluster-15354.121982,GO:0090263
Cluster-15354.122094,GO:0055114
Cluster-15354.122408,GO:0032012
Cluster-15354.122413,GO:0055114
Cluster-15354.122429,GO:0006468
Cluster-15354.122556,GO:0006355
Cluster-15354.122769,GO:0055114
Cluster-15354.122770,GO:0015716
Cluster-15354.122772,GO:0035556
Cluster-15354.122773,GO:0055114
Cluster-15354.122776,GO:0019634
Cluster-15354.122844,GO:0006379
Cluster-15354.123023,GO:0009058
Cluster-15354.123083,GO:0009069
Cluster-15354.123317,GO:0016579
Cluster-15354.123373,GO:0045454
Cluster-15354.123376,GO:0045454
Cluster-15354.123534,GO:0006457
Cluster-15354.124685,GO:0055114
Cluster-15354.124769,GO:0000902
Cluster-15354.124793,GO:0006281
Cluster-15354.124870,GO:0015979
Cluster-15354.124905,GO:0006071
Cluster-15354.125058,GO:0006355
Cluster-15354.125059,GO:0006576
Cluster-15354.125069,GO:0006614
Cluster-15354.125147,GO:0006465
Cluster-15354.125204,GO:0016192
Cluster-15354.125545,GO:0006040
Cluster-15354.125610,GO:0006606
Cluster-15354.125614,GO:0006606
Cluster-15354.125659,GO:0008152
Cluster-15354.125660,GO:0055114
Cluster-15354.125820,GO:0016192
Cluster-15354.125916,GO:0019058
Cluster-15354.126198,GO:0006468
Cluster-15354.126328,GO:0006904
Cluster-15354.126482,GO:0006468
Cluster-15354.126582,GO:0006810
Cluster-15354.126585,GO:0006810
Cluster-15354.126604,GO:0006886
Cluster-15354.12730,GO:0006812
Cluster-15354.12734,GO:0006812
Cluster-15354.127490,GO:0006357
Cluster-15354.127491,GO:0006357
Cluster-15354.127493,GO:0006357
Cluster-15354.127769,GO:0045747
Cluster-15354.128046,GO:0005975
Cluster-15354.128315,GO:0006812
Cluster-15354.128316,GO:0006812
Cluster-15354.128323,GO:0007165
Cluster-15354.128324,GO:0006813
Cluster-15354.128605,GO:0006357
Cluster-15354.128645,GO:0007067
Cluster-15354.128655,GO:0009611
Cluster-15354.128706,GO:0007155
Cluster-15354.128774,GO:0031505
Cluster-15354.129010,GO:0006614
Cluster-15354.129108,GO:0006950
Cluster-15354.129408,GO:0015979
Cluster-15354.129570,GO:0016310
Cluster-15354.129673,GO:0055114
Cluster-15354.130030,GO:0006576
Cluster-15354.130176,GO:0016485
Cluster-15354.130201,GO:0006468
Cluster-15354.13034,GO:0006413
Cluster-15354.130614,GO:0006357
Cluster-15354.130808,GO:0016567
Cluster-15354.130947,GO:0055114
Cluster-15354.131500,GO:0009069
Cluster-15354.131576,GO:0055085
Cluster-15354.132381,GO:0050765
Cluster-15354.132609,GO:0016192
Cluster-15354.132954,GO:0033617
Cluster-15354.133278,GO:0006281
Cluster-15354.133326,GO:0007340
Cluster-15354.133381,GO:0006554
Cluster-15354.13342,GO:0008152
Cluster-15354.133526,GO:0006457
Cluster-15354.133804,GO:0000160
Cluster-15354.133805,GO:0000160
Cluster-15354.134350,GO:0018279
